Rhiannon,F,2000,612
Madisyn,F,2000,610
Colleen,F,2000,609
Charity,F,2000,608
Joy,F,2000,607
Pamela,F,2000,607
Irene,F,2000,605
Tania,F,2000,605
Fiona,F,2000,603
Kaila,F,2000,601
Alyson,F,2000,599
Annabelle,F,2000,597
Emely,F,2000,597
Alina,F,2000,595
Angelique,F,2000,595
Johanna,F,2000,594
Regan,F,2000,592
Janelle,F,2000,591
Janae,F,2000,589
Madyson,F,2000,588
Paris,F,2000,585
Justine,F,2000,584
Chelsey,F,2000,580
Sasha,F,2000,579
Paulina,F,2000,574
Mayra,F,2000,572
Zaria,F,2000,568
Skye,F,2000,566
Cora,F,2000,564
Brisa,F,2000,563
Felicia,F,2000,563
Emilie,F,2000,562
Tianna,F,2000,562
Larissa,F,2000,561
Macie,F,2000,561
Aurora,F,2000,557
Sage,F,2000,557
Lucia,F,2000,552
Alma,F,2000,548
Chasity,F,2000,547
Ann,F,2000,546
Deborah,F,2000,546
Nichole,F,2000,545
Jayden,F,2000,542
Sylvia,F,2000,542
Alanna,F,2000,541
Malia,F,2000,541
Angie,F,2000,540
Carlie,F,2000,540
Nora,F,2000,540
Carrie,F,2000,536
Kailee,F,2000,536
Elaina,F,2000,534
Barbara,F,2000,533
Sonia,F,2000,532
Kenya,F,2000,524
Marilyn,F,2000,524
Genevieve,F,2000,523
Piper,F,2000,522
Amari,F,2000,519
Marlene,F,2000,519
Macey,F,2000,518
Julianne,F,2000,512
Tayler,F,2000,512
Brooklynn,F,2000,510
Lorena,F,2000,510
Perla,F,2000,510
Elisa,F,2000,509
Eden,F,2000,505
Kaley,F,2000,505
Leilani,F,2000,505
Miracle,F,2000,504
Devin,F,2000,502
Aileen,F,2000,501
Chyna,F,2000,500
Esperanza,F,2000,499
Regina,F,2000,499
Athena,F,2000,498
Adrienne,F,2000,496
Shyanne,F,2000,491
Luz,F,2000,489
Tierra,F,2000,488
Clare,F,2000,485
Cristal,F,2000,484
Eliana,F,2000,483
Kelli,F,2000,483
Eve,F,2000,482
Sydnee,F,2000,482
Madelynn,F,2000,481
Breana,F,2000,480
Melina,F,2000,480
Arielle,F,2000,479
Justice,F,2000,477
Toni,F,2000,477
Corinne,F,2000,476
Lena,F,2000,476
Abbigail,F,2000,475
Maia,F,2000,475
Tess,F,2000,475
Ciera,F,2000,474
Ebony,F,2000,474
Maritza,F,2000,474
Lexie,F,2000,471
Isis,F,2000,470
Aimee,F,2000,468
Leticia,F,2000,468
Sydni,F,2000,468
Sarai,F,2000,465
Halie,F,2000,464
Alivia,F,2000,463
Destiney,F,2000,463
Laurel,F,2000,463
Edith,F,2000,462
Fernanda,F,2000,461
Carina,F,2000,460
Amya,F,2000,458
Destini,F,2000,458
Aspen,F,2000,455
Tanya,F,2000,455
Frances,F,2000,454
Nathalie,F,2000,454
Paula,F,2000,454
Tina,F,2000,454
Elaine,F,2000,453
Christian,F,2000,452
